Designator,Mid X,Mid Y,Rotation,Layer
5VBUS1,110.0,-72.0,0.0,bottom
5VBUS2,99.0,-72.0,0.0,bottom
5VBUS3,87.0,-120.0,0.0,bottom
D1,87.0,-114.0,180.0,top
D2,99.0,-77.8,0.0,top
D3,110.0,-77.8,0.0,top
GND,110.0,-120.2,0.0,bottom
J1,88.92695,-76.5,270.0,top
J2,114.0575,-96.0,90.0,top
J3,96.2,-96.0,90.0,top
J4,78.375,-96.0,90.0,top
R1,118.2,-105.2,270.0,top
R2,82.4,-105.2,270.0,top
R3,87.0,-112.5,180.0,top
R4,99.0,-79.4,0.0,top
R5,110.0,-79.4,0.0,top
